id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab0921e15238663fa0856c6,2026-09-21T09:10:38.986000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0921f15238663fa0856c7,2026-09-21T09:10:39.989000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0922015238663fa0856c8,2026-09-21T09:10:40.723000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0922115238663fa0856c9,2026-09-21T09:10:41.752000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0922315238663fa0856ca,2026-09-21T09:10:43.176000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0922315238663fa0856cb,2026-09-21T09:10:43.797000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0922415238663fa0856cc,2026-09-21T09:10:44.822000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0922615238663fa0856cd,2026-09-21T09:10:46.143000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0922615238663fa0856ce,2026-09-21T09:10:46.759000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0922715238663fa0856cf,2026-09-21T09:10:47.782000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0922815238663fa0856d0,2026-09-21T09:10:48.813000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab0922915238663fa0856d1,2026-09-21T09:10:49.856000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab0922a15238663fa0856d2,2026-09-21T09:10:50.755000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab0922b15238663fa0856d3,2026-09-21T09:10:51.790000+07:00,pi4-tdbao,26.0,71.0,1,0,0
